career,category,description,skills,interests,work_style,roadmap
Accountant,Finance,"Records, organizes, checks, and reports financial transactions so businesses can understand their finances and meet accounting requirements.",bookkeeping; accounting principles; Excel; financial reporting; attention to detail; taxation basics,numbers; organized records; finance; accuracy; business operations,structured and rule-based; detail-intensive; regular reporting cycles and deadlines,Accounting principles → bookkeeping → Excel → financial statements → accounting software → taxation/audit basics
Investment Analyst,Finance,"Researches companies, industries, and financial markets to evaluate investment opportunities and support decisions about stocks, bonds, or other assets.",financial analysis; valuation; Excel; accounting; economics; research; presentation,investing; companies; markets; finance; research; economic trends,research and numbers focused; follows markets closely; combines independent analysis with written recommendations,Accounting → financial statements → economics → valuation → Excel modeling → company research reports
Economist,Finance,"Studies how people, businesses, and governments use resources, using data and economic theory to understand trends, policies, markets, and behavior.",economics; statistics; data analysis; research; mathematics; writing,markets; public policy; economic trends; research; mathematics; society,research-oriented and analytical; combines data with theory; significant reading and writing,Microeconomics → macroeconomics → statistics → econometrics basics → Python/R → economic research projects
UI/UX Designer,Design,"Researches user needs and designs easy-to-use digital experiences, including user flows, wireframes, prototypes, and interfaces for websites or applications.",Figma; wireframing; prototyping; user research; usability; visual design basics; communication,users; creativity; psychology; apps; problem solving; visual interfaces,creative and user-centered; iterative; frequent feedback and collaboration with product and development teams,Design principles → Figma → user research → wireframes → prototypes → usability testing → UX portfolio
Graphic Designer,Design,"Creates visual communication such as branding, posters, social graphics, layouts, and marketing materials using typography, color, imagery, and composition.",Adobe tools or alternatives; typography; color theory; layout; branding; illustration basics,art; visual communication; branding; creativity; images; typography,visual and creative; project-based; frequent revisions based on client or team feedback,Design principles → typography/color → Photoshop/Illustrator or alternatives → branding → portfolio projects
Product Designer,Design,"Designs complete digital product experiences by combining user research, interaction design, interface design, prototyping, and product thinking.",Figma; UX research; UI design; prototyping; design systems; product thinking,digital products; users; design systems; creativity; problem solving,"highly collaborative and iterative; balances user needs, product goals, and technical constraints",UX fundamentals → Figma → research → interaction/UI design → design systems → product case-study portfolio
Architect,Design,"Plans and designs buildings and spaces by combining creativity, technical drawing, safety requirements, materials, and the needs of people who will use the space.",architectural drawing; CAD; 3D modeling; design; building knowledge; presentation; mathematics,buildings; spaces; drawing; creativity; engineering; human environments,"creative and technical; project-based; client collaboration; significant drawing, revision, and documentation",Design/drawing fundamentals → CAD → 3D modeling → building systems → codes basics → architectural portfolio
Digital Marketer,Marketing,"Plans and runs online marketing campaigns across websites, search, email, advertising, and social platforms to attract audiences and achieve business goals.",digital marketing; analytics; content; advertising; SEO basics; campaign planning; communication,brands; online audiences; creativity; business growth; campaigns; analytics,fast-moving and campaign-based; combines creative ideas with performance data,Marketing fundamentals → content → social media → SEO → paid ads → analytics → campaign portfolio
SEO Specialist,Marketing,"Improves websites so they can appear more effectively in search engines by researching keywords, optimizing content, checking technical issues, and measuring search performance.",keyword research; SEO; content optimization; Google Analytics; Search Console; technical SEO basics,search engines; websites; data; content; online visibility; research,research and analysis focused; mixes technical website checks with content improvement,SEO fundamentals → keyword research → on-page SEO → Search Console → technical SEO basics → SEO audit projects
Content Strategist,Marketing,"Plans what content an organization should create, for whom, on which channels, and for what purpose so communication supports audience and business needs.",content planning; audience research; writing; SEO basics; analytics; editorial planning,writing; audiences; communication; planning; brands; storytelling,planning and communication focused; combines creative thinking with research and performance review,Writing fundamentals → audience research → content planning → SEO basics → analytics → build content strategy samples
Social Media Manager,Marketing,"Plans, publishes, and evaluates content on social platforms while managing online communities and helping brands communicate with their audiences.",social media platforms; content planning; copywriting; basic design; analytics; community management,social media; trends; brands; communication; content; online communities,fast-paced and audience-facing; creative; responds to trends and monitors engagement regularly,Platform fundamentals → content planning → Canva/design basics → copywriting → analytics → manage sample social campaigns
Content Creator,Media & Communication,"Produces engaging digital material such as videos, posts, tutorials, podcasts, or short-form content for an audience on online platforms.",storytelling; video editing; scripting; presentation; social media; audience understanding,video; storytelling; creativity; social platforms; personal expression; audiences,creative and self-directed; frequent experimentation; public-facing; may require consistent publishing,Choose content niche → storytelling → basic filming/audio → editing → platform strategy → publish and review content
Copywriter,Media & Communication,"Writes persuasive and clear text for advertisements, websites, emails, products, and campaigns with the goal of informing or influencing an audience.",writing; editing; persuasion; audience research; marketing basics; creativity,writing; language; psychology; brands; storytelling; persuasion,independent writing mixed with feedback; deadline-driven; requires many revisions and attention to wording,Writing fundamentals → persuasive writing → audience research → headlines → web/ad copy → copywriting portfolio
Journalist,Media & Communication,"Researches events and issues, interviews people, verifies information, and communicates accurate stories through written, audio, video, or digital media.",research; interviewing; writing; fact checking; communication; media ethics,current events; people; writing; investigation; storytelling; society,deadline-driven and investigative; substantial communication; may involve field work and unpredictable schedules,News writing → research → interviewing → fact checking → media ethics → publish reporting samples
Public Relations Specialist,Media & Communication,"Manages communication between an organization and the public by preparing messages, handling media relationships, supporting events, and protecting reputation.",communication; writing; media relations; presentation; event coordination; crisis communication basics,people; communication; brands; events; reputation; media,highly social and communication-heavy; deadline-sensitive; frequent coordination with external audiences,Communication basics → professional writing → media relations → event coordination → crisis communication → PR campaign examples
Teacher,Education,"Helps students understand subjects by planning lessons, explaining concepts, assessing learning, and adapting teaching approaches to different learners.",subject knowledge; communication; lesson planning; patience; presentation; assessment,helping others learn; communication; subjects; mentoring; working with students,people-centered and structured; regular preparation and presentation; requires patience and adaptability,Choose subject → strengthen subject knowledge → teaching methods → lesson planning → assessment → classroom practice
Instructional Designer,Education,"Designs learning materials, online courses, training activities, and assessments so people can learn skills or knowledge effectively.",learning design; writing; presentation; e-learning tools; assessment design; basic multimedia,education; technology; organizing information; training; visual learning,structured and creative; project-based; collaborates with subject experts and learners,Learning theory basics → course design → storyboarding → e-learning tools → assessment → build sample learning module
Researcher,Science & Research,"Investigates questions systematically by reviewing existing knowledge, collecting evidence, analyzing results, and communicating findings.",research methods; critical thinking; statistics; data analysis; academic writing; literature review,discovering new knowledge; reading; experiments; data; asking questions,"patient and detail-oriented; long-term projects; significant reading, analysis, and writing",Research methods → literature review → statistics → data collection → analysis → academic writing → small research project
Environmental Consultant,Science & Research,"Helps organizations understand and reduce environmental impacts by conducting assessments, analyzing environmental data, and advising on regulations and sustainable practices.",environmental science; data analysis; report writing; field assessment; sustainability; regulations basics,environment; sustainability; science; field work; problem solving; policy,mix of office analysis and field work; report-heavy; works with clients and regulations,Environmental science → sustainability → data/GIS basics → environmental assessment → regulations → case-study projects
Biotechnologist,Science & Research,"Uses biology and laboratory techniques to develop or study products and processes in areas such as healthcare, agriculture, food, or environmental science.",biology; laboratory methods; chemistry basics; data analysis; research; documentation,biology; experiments; healthcare; laboratory work; scientific discovery,laboratory and research focused; careful procedures; documentation-heavy; often team-based,Biology/chemistry → lab techniques → genetics/microbiology → statistics → biotechnology applications → research experience
Civil Engineer,Engineering & Built Environment,"Designs, analyzes, and supports construction of infrastructure such as buildings, roads, bridges, water systems, and other public works.",mathematics; structural basics; CAD; engineering mechanics; project planning; technical drawing,infrastructure; construction; mathematics; problem solving; buildings; public works,mix of office design and site work; technical; team-based; safety and standards focused,Mathematics/physics → engineering mechanics → CAD → structures/materials → design projects → site experience
Mechanical Engineer,Engineering & Built Environment,"Designs, analyzes, tests, and improves machines and mechanical systems using principles of mechanics, energy, materials, and manufacturing.",mathematics; physics; CAD; mechanics; thermodynamics; materials; problem solving,machines; engines; energy; design; physics; practical problem solving,"technical and analytical; mix of computer design, calculations, testing, and practical engineering work",Mathematics/physics → mechanics → thermodynamics → CAD → materials → design/analysis projects
Renewable Energy Specialist,Engineering & Built Environment,"Works with technologies and projects involving solar, wind, energy efficiency, or other sustainable energy systems to reduce environmental impact.",energy fundamentals; data analysis; electrical/mechanical basics; sustainability; project analysis,clean energy; sustainability; engineering; climate; technology; problem solving,"technical and project-based; may combine field assessment, calculations, research, and client work",Energy fundamentals → renewable technologies → Excel/data analysis → system design basics → sustainability → energy project
Supply Chain Analyst,Business,"Uses data to improve how products, materials, inventory, and deliveries move through an organization from suppliers to customers.",Excel; data analysis; logistics; inventory; forecasting basics; SQL basics; communication,logistics; business operations; data; planning; efficiency; solving process problems,"analytical and operations-focused; works with schedules, inventory, suppliers, and business teams",Supply-chain fundamentals → Excel → inventory/logistics → forecasting → SQL basics → operations analysis projects
UX Researcher,Design,"Studies how people use products through interviews, observation, surveys, and usability tests, then turns findings into insights for design and product teams.",user interviews; usability testing; surveys; qualitative research; data analysis basics; communication,human behavior; psychology; research; technology; user problems; interviews,research and people focused; frequent interviews; analysis and presentation of findings,Research fundamentals → interview methods → surveys → usability testing → qualitative analysis → UX research case studies
Technical Writer,Media & Communication,"Explains complex technical information clearly by creating manuals, guides, tutorials, help articles, and documentation for users or technical teams.",writing; editing; research; technical understanding; documentation tools; information organization,writing; technology; explaining things; learning complex topics; organized information,focused writing and research; structured; collaborates with engineers or subject experts,Writing/editing → technical fundamentals → documentation structure → Markdown/tools → create tutorials and documentation portfolio
GIS Analyst,Data & AI,"Works with maps and location-based data to analyze geographic patterns and support planning, environment, transportation, utilities, or business decisions.",GIS software; spatial data; mapping; data analysis; Excel; Python basics; cartography,maps; geography; data; environment; cities; spatial patterns,analytical and visual; computer-based mapping with occasional field or planning collaboration,GIS fundamentals → QGIS/ArcGIS → spatial data → cartography → Python basics → GIS analysis projects
